code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
54007,Aingeray,489,205,274,49,146,79
54008,Allain,324,93,212,48,94,70
54009,Allamont,130,67,62,5,22,35
54010,Allamps,394,142,240,53,74,113
54011,Allondrelle-la-Malmaison,366,182,180,37,62,81
54012,Amance,267,71,191,34,37,120
54013,Amenoncourt,67,17,49,2,20,27
54014,Ancerviller,225,70,146,29,47,70
54015,Anderny,190,74,106,23,54,29
54016,Andilly,199,68,122,15,76,31
54017,Angomont,68,11,53,14,15,24
54018,Anoux,215,78,134,39,51,44
54019,Ansauville,78,29,48,7,25,16
54020,Anthelupt,308,80,218,30,78,110
54021,Armaucourt,160,50,107,9,58,40
54022,Arnaville,479,179,289,50,102,137
54023,Arracourt,194,65,124,23,55,46
54024,Arraye-et-Han,241,84,146,31,46,69
54025,Art-sur-Meurthe,966,269,677,107,243,327
54026,Athienville,141,48,89,13,38,38
54027,Atton,605,225,363,62,156,145
54028,Auboué,1862,955,856,297,294,265
54029,Audun-le-Roman,1771,895,843,217,295,331
54030,Autrepierre,87,23,62,2,31,29
54031,Autreville-sur-Moselle,185,58,122,27,41,54
54032,Autrey-sur-Madon,140,35,99,8,37,54
54033,Avillers,70,31,38,1,25,12
54034,Avrainville,194,59,127,19,38,70
54035,Avricourt,267,97,166,32,67,67
54036,Avril,784,333,432,100,188,144
54037,Azelot,347,120,216,22,69,125
54038,Azerailles,619,233,373,59,144,170
54039,Baccarat,3038,1382,1589,290,705,594
54040,Badonviller,1133,447,636,115,268,253
54041,Bagneux,107,20,84,15,28,41
54042,Bainville-aux-Miroirs,255,88,160,28,66,66
54043,Bainville-sur-Madon,891,337,537,108,206,223
54044,Barbas,132,27,102,9,50,43
54045,Barbonville,333,99,223,40,103,80
54046,Barisey-au-Plain,294,99,190,19,102,69
54047,Barisey-la-Côte,167,57,102,13,52,37
54048,Baroches (Les),330,132,191,31,80,80
54049,Baslieux,407,181,212,37,93,82
54050,Bathelémont,71,17,50,0,32,18
54051,Batilly,987,457,507,104,200,203
54052,Battigny,108,28,77,15,32,30
54053,Bauzemont,118,40,78,20,31,27
54054,Bayon,990,356,601,121,205,275
54055,Bayonville-sur-Mad,274,125,140,34,43,63
54056,Bazailles,131,64,64,16,28,20
54057,Beaumont,49,17,29,4,17,8
54058,Béchamps,82,19,60,3,18,39
54059,Belleau,521,146,371,59,177,135
54060,Belleville,1009,372,608,136,249,223
54061,Bénaménil,403,121,272,45,127,100
54062,Benney,478,142,318,56,112,150
54063,Bernécourt,158,52,101,15,43,43
54064,Bertrambois,270,117,145,25,71,49
54065,Bertrichamps,889,324,547,69,306,172
54066,Bettainvillers,251,132,116,29,55,32
54067,Beuveille,500,234,256,61,102,93
54068,Beuvezin,109,35,71,4,38,29
54069,Beuvillers,295,119,168,25,72,71
54070,Bey-sur-Seille,122,32,87,13,35,39
54071,Bezange-la-Grande,146,63,77,6,32,39
54072,Bezaumont,185,49,128,32,58,38
54073,Bicqueley,736,258,463,65,241,157
54074,Bienville-la-Petite,28,7,18,2,9,7
54075,Bionville,106,29,74,14,25,35
54076,Blainville-sur-l'Eau,3168,1405,1691,453,659,579
54077,Blâmont,725,315,386,64,175,147
54078,Blémerey,60,13,45,3,23,19
54079,Blénod-lès-Pont-à-Mousson,3223,1566,1567,307,651,609
54080,Blénod-lès-Toul,776,274,472,80,211,181
54081,Boismont,369,158,195,35,79,81
54082,Boncourt,162,64,94,16,41,37
54083,Bonviller,147,34,109,24,38,47
54084,Bonvillers (Mont),635,341,272,63,122,87
54085,Borville,85,29,53,6,35,12
54086,Boucq,301,107,181,29,84,68
54087,Bouillonville,106,44,60,5,35,20
54088,Bouvron,171,58,112,14,54,44
54089,Bouxières-aux-Chênes,1150,392,738,134,242,362
54090,Bouxières-aux-Dames,3199,1061,2057,361,754,942
54091,Bouxières-sous-Froidmont,238,73,152,19,70,63
54092,Bouzanville,59,18,40,7,15,18
54093,Brainville,145,49,85,7,33,45
54094,Bralleville,164,50,111,6,68,37
54095,Bratte,35,14,20,5,2,13
54096,Bréhain-la-Ville,270,131,135,31,49,55
54097,Bréménil,114,31,80,9,42,29
54098,Brémoncourt,143,43,98,13,38,47
54099,Briey,4182,2104,1994,494,698,802
54100,Brin-sur-Seille,610,211,382,58,161,163
54101,Brouville,101,25,72,12,33,27
54102,Bruley,483,137,338,35,115,188
54103,Bruville,184,58,120,13,58,49
54104,Buissoncourt,194,48,141,21,50,70
54105,Bulligny,383,76,295,82,74,139
54106,Bures,56,13,41,3,15,23
54107,Buriville,52,12,36,4,18,14
54108,Burthecourt-aux-Chênes,95,23,70,13,19,38
54109,Ceintrey,637,210,411,82,160,169
54110,Cerville,467,124,327,60,108,159
54111,Chaligny,2255,876,1332,359,504,469
54112,Chambley-Bussières,426,150,268,31,123,114
54113,Champenoux,920,282,610,98,227,285
54114,Champey-sur-Moselle,274,86,181,26,101,54
54115,Champigneulles,4809,1956,2761,589,1029,1143
54116,Chanteheux,1567,511,1018,153,415,450
